country	fday	days	versions	downloads
HK	2019-04-26	37	13	385
US	2019-04-26	578	16	8256
GB	2019-04-26	136	16	219
CH	2019-04-26	49	13	122
UA	2019-04-27	15	8	18
ES	2019-04-27	102	16	132
CA	2019-04-27	74	16	94
RO	2019-04-28	26	12	27
FR	2019-04-28	80	15	116
LU	2019-04-29	70	15	189
DE	2019-04-29	125	14	172
CO	2019-04-29	40	11	51
PL	2019-04-29	36	13	46
JP	2019-04-29	253	15	494
ID	2019-04-30	19	9	22
IN	2019-04-30	82	12	109
AT	2019-05-01	59	15	85
IR	2019-05-05	10	6	12
AR	2019-05-06	8	6	9
IL	2019-05-07	10	6	11
SC	2019-05-09	1	1	1
NO	2019-05-12	10	7	13
HN	2019-05-13	4	4	9
RU	2019-05-13	25	13	37
SY	2019-05-14	1	1	1
EG	2019-05-15	6	4	6
KR	2019-05-16	153	13	209
IT	2019-05-17	85	13	127
CL	2019-05-18	22	8	25
HU	2019-05-19	33	12	62
BR	2019-05-20	50	11	56
CN	2019-05-20	104	16	173
SN	2019-05-23	2	2	2
CZ	2019-05-26	14	9	22
TW	2019-05-26	60	13	74
BE	2019-05-27	23	8	29
DK	2019-05-28	15	8	15
JO	2019-05-28	10	5	12
FI	2019-05-29	10	8	15
ZA	2019-06-01	27	10	28
AU	2019-06-01	20	6	23
NL	2019-06-06	29	16	89
PT	2019-06-07	11	7	15
TH	2019-06-13	20	9	21
MX	2019-06-14	17	7	19
VE	2019-06-17	2	2	2
MY	2019-06-24	6	5	6
BD	2019-06-25	2	2	3
KE	2019-06-29	10	8	10
PE	2019-07-02	6	5	6
CR	2019-07-07	5	4	5
VN	2019-07-15	14	6	14
ZM	2019-07-16	3	2	3
ML	2019-07-29	1	1	1
NZ	2019-07-30	8	5	12
BY	2019-07-30	8	5	16
TR	2019-08-05	34	10	36
ET	2019-08-06	5	3	6
GR	2019-08-15	16	8	16
SE	2019-08-17	19	7	20
IE	2019-09-04	2	2	2
BF	2019-09-06	4	3	4
SG	2019-09-16	10	5	11
MO	2019-09-19	1	1	1
PR	2019-09-19	2	2	2
TN	2019-10-05	6	3	7
SK	2019-10-09	6	3	6
UY	2019-10-10	2	2	2
BG	2019-10-13	5	4	6
LB	2019-10-22	2	3	3
EU	2019-10-24	8	6	8
GA	2019-10-27	2	1	2
MG	2019-11-12	2	2	2
PK	2019-11-14	3	3	3
NI	2019-12-22	1	1	1
HR	2020-01-23	3	3	5
CM	2020-01-27	3	2	3
LA	2020-02-05	1	1	1
EC	2020-02-05	1	1	1
MA	2020-02-11	4	2	8
MU	2020-02-14	2	2	2
LV	2020-02-20	4	3	4
QA	2020-02-23	1	1	1
TT	2020-02-28	7	5	11
AP	2020-03-04	1	1	1
ZW	2020-03-06	1	1	1
MZ	2020-03-12	4	2	4
CY	2020-03-24	1	1	1
AE	2020-04-02	3	3	3
CU	2020-04-08	2	2	2
PH	2020-04-15	3	3	3
PS	2020-04-28	2	1	2
TZ	2020-04-29	1	1	1
MN	2020-05-20	1	1	1
AO	2020-06-17	1	1	1
BJ	2020-06-18	1	1	1
GT	2020-07-18	1	1	1
A2	2020-08-26	3	2	3
EE	2020-09-04	4	2	11
MT	2020-09-15	3	2	3
NP	2020-10-01	2	1	4
SV	2020-10-01	1	1	1
IQ	2020-10-04	5	1	5
OM	2020-10-14	1	1	1
SA	2020-10-22	1	1	1
NE	2020-11-06	1	1	1
SI	2020-11-17	1	1	1
MD	2020-11-17	2	1	2
BA	2020-11-17	1	1	1
RS	2020-11-17	1	1	1
PY	2020-11-18	1	1	1
LT	2020-11-30	1	1	1
