0.10.9	id=hrst_st_nocc	filters=25 to 64	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRST", "EU27_2020", "THS", gsub(" to ", "-", tweet_age))	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRST", "EU27_2020", "THS", gsub(" to ", "-", tweet_age))	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRST", "EU27_2020", "THS", gsub(" to ", "-", tweet_age))	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRST", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRST", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRST", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRST$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2019
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2015
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
0.8.10	id=demo_gind
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
0.10.9	id=hrst_st_nocc	filters=c("HRSTO$", "EU27_2020", "THS", "TOTAL", gsub(" to ", "-", tweet_age))	exact_match=0	date_filter=2020
