0.10.7	id=sdg_01_10
0.10.7	id=sdg_01_10
0.10.7	id=sdg_01_10
0.10.7	id=sdg_01_10a
0.10.7	id=sdg_01_20
0.10.7	id=sdg_01_20a
0.10.7	id=sdg_01_30
0.10.7	id=sdg_01_40
0.10.7	id=sdg_01_41
0.10.7	id=sdg_01_60
0.10.7	id=sdg_03_60
0.10.7	id=sdg_06_10
0.10.7	id=sdg_07_60
0.10.7	id=sdg_11_10
0.10.7	id=sdg_01_10	filters=c("ES")
0.10.7	id=sdg_01_10a	filters=c("ES")
0.10.7	id=sdg_01_20	filters=c("ES")
0.10.7	id=sdg_01_20a	filters=c("ES")
0.10.7	id=sdg_01_30	filters=c("ES")
0.10.7	id=sdg_01_40	filters=c("ES")
0.10.7	id=sdg_01_41	filters=c("ES")
0.10.7	id=sdg_01_60	filters=c("ES")
0.10.7	id=sdg_03_60	filters=c("ES")
0.10.7	id=sdg_06_10	filters=c("ES")
0.10.7	id=sdg_07_60	filters=c("ES")
0.10.7	id=sdg_11_10	filters=c("ES")
0.10.7	id=sdg_01_10	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_01_10a	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_01_20	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_01_20a	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_01_30	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_01_40	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_01_41	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_01_60	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_03_60	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_06_10	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_07_60	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_11_10	filters=c("ES")	date_filter=2014-2021
0.10.7	id=sdg_01_10	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_01_10a	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_01_20	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_01_20a	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_01_30	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_01_40	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_01_41	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_01_60	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_03_60	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_06_10	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_07_60	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_11_10	filters=c("ES", "T")	date_filter=2014-2021
0.10.7	id=sdg_01_10	filters=c("ES", "T", "TOTAL", )	date_filter=2014 - 2021
0.10.7	id=sdg_01_10	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10a	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20a	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_30	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_40	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_41	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_60	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_03_60	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_06_10	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_07_60	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_11_10	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10a	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20a	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_30	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_40	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_41	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_60	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_03_60	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_06_10	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_07_60	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_11_10	filters=c("ES", "T", "TOTAL")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10	filters=list(age = "T, sex=T")
