0.8.6	id=ert_bil_eur_d	stringsAsFactors=FALSE
0.8.6	id=ert_bil_eur_d	stringsAsFactors=FALSE
0.12.8	id=demo_r_pjangrp3	cache=TRUE	stringsAsFactors=FALSE
0.12.8	id=demo_r_pjangrp3	cache=TRUE	stringsAsFactors=FALSE
0.12.8	id=demo_r_pjangrp3	cache=TRUE	stringsAsFactors=FALSE
0.12.8	id=demo_r_pjangrp3	cache=TRUE	stringsAsFactors=FALSE
0.12.8	id=demo_r_pjangrp3	cache=TRUE	stringsAsFactors=FALSE
0.12.8	id=demo_r_pjangrp3	cache=TRUE	stringsAsFactors=FALSE
0.12.3	id=nrg_ti_oilm	label=TRUE	verbose=TRUE
0.12.3	id=nrg_cb_oilm	label=TRUE	verbose=TRUE
0.12.3	id=nrg_cb_oilm	label=TRUE	verbose=TRUE
0.12.3	id=nrg_ti_oilm	label=TRUE	verbose=TRUE
0.12.3	id=nrg_te_oilm	label=TRUE	verbose=TRUE
0.12.3	id=nrg_ti_oilm	label=TRUE	verbose=TRUE
