0.20.6	id=t_nama10
0.20.6	id=met_10r_3pgdp	filters=list(code = "*MC")
0.20.6	id=met_10r_3pgdp	filters=list(code = "*MC")
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = "*MC")
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = "*MC", time > 2010)
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = "*MC")	date_filter=2010:
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = "*MC")	date_filter=2010:2050
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = "$MC")	date_filter=2010:2050
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = "*MC")	date_filter=2010:2050
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = ".*MC")	date_filter=2010:2050
0.20.6	id=met_10r_3gdp	filters=list(metroreg = ".*MC", unit = ".*PPS.*")	date_filter=2010:2050
0.20.6	id=met_10r_3emp	filters=list(metroreg = ".*MC", wstatus = "EMP")	date_filter=2010:2050
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = ".*MC")	date_filter=2010:2050
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = ".*MC")	date_filter=2010:2050
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = ".*MC")	date_filter=2010:2050
0.20.6	id=met_10r_3gdp	filters=list(metroreg = ".*MC", unit = ".*PPS.*")	date_filter=2010:2050
0.20.6	id=met_10r_3emp	filters=list(metroreg = ".*MC", wstatus = "EMP")	date_filter=2010:2050
0.20.6	id=met_10r_3emp	filters=list(metroreg = ".*MC", wstatus = "EMP")	date_filter=2010:2050
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = ".*MC")	date_filter=2010:2050
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = ".*MC")	date_filter=2010:2025
0.20.6	id=met_10r_3gdp	filters=list(metroreg = ".*MC", unit = ".*PPS.*")	date_filter=2010:2050
0.20.6	id=met_10r_3gdp	filters=list(metroreg = ".*MC", unit = ".*PPS.*")	date_filter=2010:2050
0.20.6	id=met_10r_3pgdp
0.20.6	id=met_10r_3pgdp
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = ".*MC")	date_filter=2010:2025
0.20.6	id=met_10r_3gdp	filters=list(metroreg = ".*MC", unit = ".*PPS.*")	date_filter=2010:2050
0.20.6	id=met_10r_3emp	filters=list(metroreg = ".*MC", wstatus = "EMP")	date_filter=2010:2050
0.20.6	id=nama_10r_3popgdp	filters=list(metroreg = ".*MC")	date_filter=2010:2025
0.20.6	id=nama_10r_3popgdp	filters=list(filters_list)	date_filter=2010:2025
0.20.6	id=met_10r_3pgdp	filters=list(metroreg = ".*MC")	date_filter=2010:2025
0.20.6	id=nama_10r_3popgdp	filters=list(filters_list)	date_filter=2010:2025
0.20.6	id=nama_10r_3popgdp	filters=list(filters_list)	date_filter=2010:2025
0.20.6	id=nama_10r_3popgdp	filters=list(filters_list)	date_filter=2010:2025
