0.22.1	id=lfsi_emp_a_h
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EU27_2020", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.20.6	id=prc_hicp_midx
0.22.1	id=lfsi_educ_a_h	filters=c("PC_EMP", "T", "Y15-64")
0.20.6	id=prc_hicp_midx	label=TRUE
0.20.6	id=prc_hicp_manr
0.20.6	id=prc_hicp_manr	label=TRUE
0.20.6	id=prc_hicp_mmor
0.22.1	id=lfsi_educ_a_h	filters=c("PC_EMP", "T", "Y15-64", "\t\nEU27_2020")
0.20.6	id=prc_hicp_mmor	label=TRUE
0.20.6	id=prc_hicp_inw
0.20.6	id=prc_hicp_inw	label=TRUE
0.22.1	id=lfsi_educ_a_h	filters=c("PC_EMP", "T", "Y15-64", "\t\nEU27_2020")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "\t\nEU27_2020")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_EMP", "T", "Y15-64", "\t\nEU27_2020")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_EMP", "T", "Y15-64", "\t\nEU27_2020")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "Y15-64", "EU27_2020", "EMP_LFS")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "\t\nEU27_2020")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_EMP", "T", "Y15-64", "\t\nEU27_2020")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64", "\t\nEU27_2020")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")	exact_match=group_by(time)
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_EMP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_emp_a_h
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EU27_2020", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=earn_ses18_30
0.22.1	id=earn_ses18_30	filters=c("ERN", "GE10", "EUR")
0.22.1	id=earn_ses18_30	filters=c("ERN", "TOTAL", "GE10", "EUR", "EU27_2020")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_EMP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_EMP", "T", "Y15-64")
0.22.1	id=earn_ses18_30	filters=c("T", "MED")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=earn_ses18_30	filters=c("T", "MED")
0.22.1	id=earn_ses18_30
0.22.1	id=earn_ses18_30	filters=c("T", "MED")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=lfsi_educ_a_h	filters=c("PC_POP", "T", "Y15-64")
0.22.1	id=earn_ses18_30	filters=c("T", "MED")
0.22.1	id=earn_ses18_30	filters=c("TOTAL", "ERN")
0.22.1	id=earn_ses18_30	filters=c("TOTAL", "ERN", "GE10", "EUR")
0.22.1	id=earn_ses18_30	filters=c("TOTAL", "ERN", "GE10", "EUR")
0.22.1	id=earn_ses18_30	filters=c("F,M", "ERN", "TOTAL", "GE10", "EUR", "EU27_2020")
0.22.1	id=earn_ses18_30	filters=c("F,M", "ERN", "TOTAL", "GE10", "EUR", "EU27_2020")
0.22.1	id=earn_ses18_30	filters=c("F,M", "ERN", "TOTAL", "GE10", "EUR", "EU27_2020")
0.22.1	id=lfsi_emp_a_h
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EU27_2020", "EMP_LFS")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
